id,lat,lon,category,geometry,address,geom,address_list,region,city,clusters
2094,39.51227026,-0.3557517,B,POINT (-0.3557517 39.51227026),"Església Parroquial del Santíssim Sagrament, Carrer Sacrament, Almàssera, l'Horta Nord, València / Valencia, Comunitat Valenciana, 46132, España","('39.51227026', '-0.3557517')","['Església Parroquial del Santíssim Sagrament', 'Carrer Sacrament', 'Almàssera', ""l'Horta Nord"", 'València / Valencia', 'Comunitat Valenciana', '46132', 'España']",Comunitat Valenciana,València / Valencia,13
2095,36.70212746,-6.1287534,B,POINT (-6.1287534 36.70212746),"Colegio de Educación Infantil y Primaria Antonio Machado, Avenida de San Joaquín, El Paquete, Jerez de la Frontera, Campiña de Jerez, Cádiz, Andalucía, 11407, España","('36.70212746', '-6.1287534')","['Colegio de Educación Infantil y Primaria Antonio Machado', 'Avenida de San Joaquín', 'El Paquete', 'Jerez de la Frontera', 'Campiña de Jerez', 'Cádiz', 'Andalucía', '11407', 'España']",Andalucía,Cádiz,12
2096,41.22043068,1.53501367,B,POINT (1.53501367 41.22043068),"Plaça Vella, el Vendrell, Baix Penedès, Tarragona, Catalunya, 43700, España","('41.22043068', '1.53501367')","['Plaça Vella', 'el Vendrell', 'Baix Penedès', 'Tarragona', 'Catalunya', '43700', 'España']",Catalunya,Tarragona,3
2097,39.85715187,-4.02431421,B,POINT (-4.02431421 39.85715187),"Catedral de Santa María, Calle de La Sinagoga, Toledo, Castilla-La Mancha, 45002, España","('39.85715187', '-4.02431421')","['Catedral de Santa María', 'Calle de La Sinagoga', 'Toledo', 'Castilla-La Mancha', '45002', 'España']",Castilla-La Mancha,Toledo,11
2098,37.12022462,-5.44898927,B,POINT (-5.44898927 37.12022462),"Castillo de Morón, Vereda del Castillo, Morón de la Frontera, Sevilla, Andalucía, España","('37.12022462', '-5.44898927')","['Castillo de Morón', 'Vereda del Castillo', 'Morón de la Frontera', 'Sevilla', 'Andalucía', 'España']",Sevilla,Morón de la Frontera,pending
2099,39.16821801,-3.85557682,B,POINT (-3.85557682 39.16821801),"Calle Tercia, Malagón, Montes, Ciudad Real, Castilla-La Mancha, 13420, España","('39.16821801', '-3.85557682')","['Calle Tercia', 'Malagón', 'Montes', 'Ciudad Real', 'Castilla-La Mancha', '13420', 'España']",Castilla-La Mancha,Ciudad Real,pending
2100,41.11910287,1.2584219,B,POINT (1.2584219 41.11910287),"Catedral de Tarragona, Pla de la Seu, Part Alta, Tarragona, Tarragonès, Tarragona, Catalunya, 43001, España","('41.11910287', '1.2584219')","['Catedral de Tarragona', 'Pla de la Seu', 'Part Alta', 'Tarragona', 'Tarragonès', 'Tarragona', 'Catalunya', '43001', 'España']",Catalunya,Tarragona,3
2101,40.96736822,-5.66538084,B,POINT (-5.66538084 40.96736822),"12,22, Calle Condes de Crespo Rascón, Centro, Salamanca, Castilla y León, 37002, España","('40.96736822', '-5.66538084')","['12,22', 'Calle Condes de Crespo Rascón', 'Centro', 'Salamanca', 'Castilla y León', '37002', 'España']",Castilla y León,Salamanca,11
2102,36.46528609,-6.20514669,B,POINT (-6.20514669 36.46528609),"Real Observatorio de la Armada, Calle Antonio de Ulloa, San Fernando, Bahía de Cádiz, Cádiz, Andalucía, 11110, España","('36.46528609', '-6.20514669')","['Real Observatorio de la Armada', 'Calle Antonio de Ulloa', 'San Fernando', 'Bahía de Cádiz', 'Cádiz', 'Andalucía', '11110', 'España']",Andalucía,Cádiz,12
2103,42.43158576,-8.643672092,B,POINT (-8.643672092 42.43158576),"Praza da Estrela, Casco Antigo, Pontevedra, Galicia, España","('42.43158576', '-8.643672092')","['Praza da Estrela', 'Casco Antigo', 'Pontevedra', 'Galicia', 'España']",Pontevedra,Casco Antigo,5
