id,lat,lon,category,geometry,address,geom,address_list,region,city
1637,38.01149823,-3.3711916,B,POINT (-3.3711916 38.01149823),"Iglesia de la Santísima Trinidad, 2D, Calle Trinidad, Las Explanada, Úbeda, Jaén, Andalucía, 23400, España","('38.01149823', '-3.3711916')","['Iglesia de la Santísima Trinidad', '2D', 'Calle Trinidad', 'Las Explanada', 'Úbeda', 'Jaén', 'Andalucía', '23400', 'España']",Andalucía,Jaén
1638,37.26004113,-6.95040588,B,POINT (-6.95040588 37.26004113),"San Pedro, Calle Daoiz, Huelva, Comarca Metropolitana de Huelva, Huelva, Andalucía, 21004, España","('37.26004113', '-6.95040588')","['San Pedro', 'Calle Daoiz', 'Huelva', 'Comarca Metropolitana de Huelva', 'Huelva', 'Andalucía', '21004', 'España']",Andalucía,Huelva
1639,37.98436361,-1.1285408,B,POINT (-1.1285408 37.98436361),"Catedral de Murcia, Calle de los Apóstoles, La Catedral, Murcia, Área Metropolitana de Murcia, Región de Murcia, 30001, España","('37.98436361', '-1.1285408')","['Catedral de Murcia', 'Calle de los Apóstoles', 'La Catedral', 'Murcia', 'Área Metropolitana de Murcia', 'Región de Murcia', '30001', 'España']",Región de Murcia,Área Metropolitana de Murcia
1640,41.5408469,2.44658062,B,POINT (2.44658062 41.5408469),"Església de Santa Maria, Plaça Santa Maria, Centre, Mataró, Maresme, Barcelona, Catalunya, 08301, España","('41.5408469', '2.44658062')","['Església de Santa Maria', 'Plaça Santa Maria', 'Centre', 'Mataró', 'Maresme', 'Barcelona', 'Catalunya', '08301', 'España']",Catalunya,Barcelona
1641,43.26534468,-1.97612931,B,POINT (-1.97612931 43.26534468),"San Joan Bataiatzailearen eliza, 2, Gudarien plaza, Portu, Hernani, Donostialdea, Gipuzkoa, Euskadi, 20120, España","('43.26534468', '-1.97612931')","['San Joan Bataiatzailearen eliza', '2', 'Gudarien plaza', 'Portu', 'Hernani', 'Donostialdea', 'Gipuzkoa', 'Euskadi', '20120', 'España']",Euskadi,Gipuzkoa
1642,37.47265463,-5.63324752,B,POINT (-5.63324752 37.47265463),"Alcázar del rey Don Pedro, Calle Extramuros de Santiago, Carmona, Sevilla, Andalucía, 41410, España","('37.47265463', '-5.63324752')","['Alcázar del rey Don Pedro', 'Calle Extramuros de Santiago', 'Carmona', 'Sevilla', 'Andalucía', '41410', 'España']",Andalucía,Sevilla
1643,37.59763627,-1.31668619,B,POINT (-1.31668619 37.59763627),"Iglesia de San Antonio, Calle General Gómez Jordana, Moreras, Mazarrón, Bajo Guadalentín, Región de Murcia, 30870, España","('37.59763627', '-1.31668619')","['Iglesia de San Antonio', 'Calle General Gómez Jordana', 'Moreras', 'Mazarrón', 'Bajo Guadalentín', 'Región de Murcia', '30870', 'España']",Región de Murcia,Bajo Guadalentín
1644,41.51725339,2.12659424,B,POINT (2.12659424 41.51725339),"Carrer de Santa Bàrbara, Barri Antic, Barberà del Vallès, Vallès Occidental, Barcelona, Catalunya, 08210, España","('41.51725339', '2.12659424')","['Carrer de Santa Bàrbara', 'Barri Antic', 'Barberà del Vallès', 'Vallès Occidental', 'Barcelona', 'Catalunya', '08210', 'España']",Catalunya,Barcelona
1645,41.5408469,2.44658062,B,POINT (2.44658062 41.5408469),"Església de Santa Maria, Plaça Santa Maria, Centre, Mataró, Maresme, Barcelona, Catalunya, 08301, España","('41.5408469', '2.44658062')","['Església de Santa Maria', 'Plaça Santa Maria', 'Centre', 'Mataró', 'Maresme', 'Barcelona', 'Catalunya', '08301', 'España']",Catalunya,Barcelona
1646,38.47617313,-1.32702475,B,POINT (-1.32702475 38.47617313),"81, Calle Canalejas, Jumilla, Altiplano, Región de Murcia, 30520, España","('38.47617313', '-1.32702475')","['81', 'Calle Canalejas', 'Jumilla', 'Altiplano', 'Región de Murcia', '30520', 'España']",Región de Murcia,Altiplano
